# MEAN_SAMPLE_SIZE = 4448
# TOTAL_GENES = 18367
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
abstinence-from-alcohol               SET       9     -0.36538   -0.0080864      0.29059      0.89568 abstinence-from-alcohol
acetaminophen-overdose                SET      11     -0.45142    -0.011044      0.29085      0.93967 acetaminophen-overdose
acne-vulgaris-(AV)                    SET      36    -0.020569  -0.00090975      0.16028      0.55106 acne-vulgaris-(AV)
acromegaly                            SET      22     -0.14306   -0.0049484      0.22284      0.73956 acromegaly
actinic-keratosis-(AK)                SET       7      0.22527    0.0043971      0.40479      0.28893 actinic-keratosis-(AK)
acute-abdominal-visceral-spa...       SET       4    -0.060748  -0.00089641      0.51661       0.5468 acute-abdominal-visceral-spasm
acute-glomerulonephritis-(AG...       SET      11     -0.28421   -0.0069534      0.26628      0.85708 acute-glomerulonephritis-(AGN)
acute-intermittent-porphyria...       SET      25     -0.10249   -0.0037788      0.20909      0.68799 acute-intermittent-porphyria-(AIP)
acute-lymphoblastic-leukemia...       SET      52      0.19464     0.010342      0.13397      0.07314 acute-lymphoblastic-leukemia-(ALL)
acute-myeloid-leukemia-(AML)          SET      24      0.01073   0.00038761      0.19112      0.47762 acute-myeloid-leukemia-(AML)
acute-promyelocytic-leukemia...       SET      13       -0.212   -0.0056383      0.24312      0.80838 acute-promyelocytic-leukemia-(APL)
adrenal-cortical-carcinoma            SET       3     -0.84939    -0.010855      0.49624      0.95651 adrenal-cortical-carcinoma
African-trypanosomiasis               SET      10     -0.19409   -0.0045278      0.28783      0.74995 African-trypanosomiasis
aggressive-systemic-mastocyt...       SET      12      0.18895    0.0048282      0.27384       0.2451 aggressive-systemic-mastocytosis-(ASM)
allergic-rhinitis                     SET      41     -0.19467   -0.0091876      0.15255      0.89903 allergic-rhinitis
Alzheimer's-disease                   SET       2      0.37697    0.0039336      0.55139      0.24709 Alzheimer's-disease
amebiasis                             SET       8     -0.33631   -0.0070175      0.32497      0.84963 amebiasis
amenorrhea                            SET      10     0.095046    0.0022172      0.27524      0.36493 amenorrhea
amyotrophic-lateral-sclerosi...       SET      15      0.23365    0.0066747      0.28835      0.20889 amyotrophic-lateral-sclerosis-(ALS)
anaphylactic-shock                    SET      11     -0.41484    -0.010149      0.31305      0.90743 anaphylactic-shock
androgenetic-alopecia                 SET       9     -0.55469    -0.012276      0.32588      0.95562 androgenetic-alopecia
anemia                                SET       7     -0.17309   -0.0033785      0.38448      0.67371 anemia
anesthetic                            SET      53     0.045728    0.0024529       0.1448      0.37608 anesthetic
angina-pectoris                       SET      21     -0.13748    -0.004646      0.21663      0.73715 angina-pectoris
angioedema                            SET       5    -0.077653   -0.0012811      0.48229      0.56396 angioedema
ankylosing-spondylitis                SET      15     -0.22058   -0.0063012      0.23686      0.82413 ankylosing-spondylitis
anorexia                              SET       4    -0.019276  -0.00028445      0.53666      0.51433 anorexia
anterior-uveitis                      SET       2     -0.43018   -0.0044889      0.73213      0.72159 anterior-uveitis
anticoagulent                         SET       6     -0.23923   -0.0043234      0.40534      0.72247 anticoagulent
anxiety                               SET      35    -0.040805   -0.0017796      0.15466      0.60405 anxiety
aphthous-ulcers                       SET       8      0.48511     0.010122       0.3285     0.069879 aphthous-ulcers
ascariasis                            SET       3    -0.057648  -0.00073672      0.43272      0.55299 ascariasis
aspergillosis                         SET       5      0.18949    0.0031261      0.39153      0.31421 aspergillosis
asthma                                SET      66     0.067756    0.0040544      0.11942      0.28524 asthma
astrocytoma                           SET       2      0.36798    0.0038398      0.73454       0.3082 astrocytoma
atherosclerosis                       SET       4     -0.22956   -0.0033874      0.38115       0.7265 atherosclerosis
atrial-fibrillation-(AF)              SET      32      -0.1628   -0.0067896      0.17448      0.82461 atrial-fibrillation-(AF)
attention-deficit/hyperactiv...       SET      16      0.11841    0.0034934      0.24844      0.31682 attention-deficit/hyperactivity-disorder-(ADHD)
backache                              SET       2     -0.35092   -0.0036618      0.70898      0.68969 backache
benign-prostatic-hyperplasia...       SET       5     -0.28102   -0.0046362      0.45578      0.73124 benign-prostatic-hyperplasia-(BPH)
bile-acid-synthesis-disorders         SET      16     -0.36845     -0.01087       0.2105      0.95996 bile-acid-synthesis-disorders
bipolar-disorder                      SET      59     -0.12203   -0.0069051      0.14148      0.80578 bipolar-disorder
bladder-cancer                        SET       3     -0.18087   -0.0023114      0.46005      0.65289 bladder-cancer
bloating                              SET       4      -0.8696    -0.012832      0.52228      0.95204 bloating
bradycardia                           SET      24    -0.098503   -0.0035585      0.20807      0.68204 bradycardia
breast-cancer                         SET      67     0.021192    0.0012776      0.11898      0.42932 breast-cancer
bronchitis                            SET      21      0.26543    0.0089704      0.19063     0.081913 bronchitis
bronchospasm                          SET       7     -0.30671   -0.0059866      0.39062      0.78382 bronchospasm
bulimia-nervosa                       SET       3      0.43202     0.005521      0.59393       0.2335 bulimia-nervosa
Burkitt's-lymphoma                    SET      10     -0.10365   -0.0024179       0.3766      0.60843 Burkitt's-lymphoma
bursitis                              SET      11     -0.18378   -0.0044963      0.29459      0.73363 bursitis
cachexia                              SET       2    -0.046731  -0.00048763      0.77984      0.52389 cachexia
cardiac-arrest                        SET      11     -0.41484    -0.010149      0.31305      0.90743 cardiac-arrest
cardiac-arrythmia                     SET      24    -0.094973    -0.003431      0.21104      0.67365 cardiac-arrythmia
cardiomyopathy                        SET       2      0.51075    0.0053296      0.56168      0.18159 cardiomyopathy
celiac-disease                        SET       8     -0.11084   -0.0023128      0.33243      0.63059 celiac-disease
central-diabetes-insipidus            SET       2      0.48613    0.0050727      0.78241       0.2672 central-diabetes-insipidus
cerebral-artery-occlusion             SET       2     -0.54316   -0.0056678      0.74723      0.76635 cerebral-artery-occlusion
cerebral-cholesterosis                SET       2        0.208    0.0021705      0.62141      0.36892 cerebral-cholesterosis
cerebral-vasospasm                    SET       4      0.52535    0.0077521      0.44324      0.11797 cerebral-vasospasm
cerebrovascular-insufficiency         SET      14     -0.33806   -0.0093299      0.28747      0.88019 cerebrovascular-insufficiency
cervical-cancer                       SET       2    -0.095547  -0.00099701      0.48308      0.57839 cervical-cancer
