# MEAN_SAMPLE_SIZE = 4448
# TOTAL_GENES = 18367
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
11-beta-hydroxysteroid-dehyd...       SET      24      0.18141    0.0065535      0.18884      0.16837 11-beta-hydroxysteroid-dehydrogenase-inhibitor
5-alpha-reductase-inhibitor           SET       5      0.52285    0.0086257      0.42519      0.10942 5-alpha-reductase-inhibitor
Abl-kinase-inhibitor                  SET      20      0.23543    0.0077647      0.22422      0.14687 Abl-kinase-inhibitor
acetylcholine-receptor-agoni...       SET      24     -0.21901   -0.0079119      0.21157       0.8497 acetylcholine-receptor-agonist
acetylcholine-receptor-antag...       SET      27     -0.03522   -0.0013494      0.18952      0.57371 acetylcholine-receptor-antagonist
acetylcholinesterase-inhibit...       SET      18    -0.081154   -0.0025394      0.23606      0.63449 acetylcholinesterase-inhibitor
adenosine-deaminase-inhibitor         SET       9     -0.13206   -0.0029226      0.28963      0.67579 adenosine-deaminase-inhibitor
adenosine-receptor-agonist            SET       8      0.75586     0.015772      0.30322    0.0063419 adenosine-receptor-agonist
adenosine-receptor-antagonist         SET      37       0.4504     0.020195      0.15718     0.002084 adenosine-receptor-antagonist
adenosine-reuptake-inhibitor          SET       2      0.35781    0.0037337      0.73566      0.31335 adenosine-reuptake-inhibitor
adrenergic-receptor-agonist           SET      36   0.00018951   8.3821e-06      0.17222      0.49956 adrenergic-receptor-agonist
adrenergic-receptor-antagoni...       SET      56     -0.11104   -0.0061222      0.13704      0.79111 adrenergic-receptor-antagonist
alcohol-dehydrogenase-inhibi...       SET       5     -0.41293   -0.0068123      0.43021      0.83142 alcohol-dehydrogenase-inhibitor
aldehyde-dehydrogenase-inhib...       SET       2      -1.1319    -0.011812      0.48477      0.99022 aldehyde-dehydrogenase-inhibitor
ALK-tyrosine-kinase-receptor...       SET       6   -0.0049057  -8.8654e-05      0.44578      0.50439 ALK-tyrosine-kinase-receptor-inhibitor
androgen-biosynthesis-inhibi...       SET       2    -0.083607  -0.00087242      0.49257      0.56739 androgen-biosynthesis-inhibitor
androgen-receptor-antagonist          SET       2       0.3879    0.0040476      0.56719      0.24703 androgen-receptor-antagonist
angiogenesis-inhibitor                SET       2   -0.0055397  -5.7806e-05      0.63346      0.50349 angiogenesis-inhibitor
angiotensin-converting-enzym...       SET       5     -0.18612   -0.0030705      0.45802      0.65776 angiotensin-converting-enzyme-inhibitor
angiotensin-receptor-antagon...       SET       4      -1.2257    -0.018087      0.49933      0.99294 angiotensin-receptor-antagonist
antimalarial-agent                    SET       4      0.15602    0.0023022      0.45099       0.3647 antimalarial-agent
antineoplastic-agent                  SET       3     -0.84939    -0.010855      0.49624      0.95651 antineoplastic-agent
antioxidant                           SET       2     -0.10866   -0.0011339      0.63082      0.56838 antioxidant
antiviral                             SET       6      0.46378    0.0083812      0.38748      0.11568 antiviral
aromatase-inhibitor                   SET       2     -0.53712   -0.0056047      0.55505      0.83339 aromatase-inhibitor
atherogenesis-inhibitor               SET       3     -0.36293   -0.0046382       0.6386      0.71509 atherogenesis-inhibitor
ATP-channel-activator                 SET       2      -1.9977    -0.020846       0.7654      0.99547 ATP-channel-activator
ATP-channel-blocker                   SET      12     -0.67139    -0.017156      0.29267       0.9891 ATP-channel-blocker
ATPase-inhibitor                      SET       3      0.74552    0.0095274      0.55089      0.08799 ATPase-inhibitor
bacterial-30S-ribosomal-subu...       SET       3     0.045481   0.00058123      0.58471        0.469 bacterial-30S-ribosomal-subunit-inhibitor
bacterial-50S-ribosomal-subu...       SET       9      -0.2646    -0.005856      0.31063      0.80284 bacterial-50S-ribosomal-subunit-inhibitor
