# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     858993     880461    139      37  120786    -0.097433   -1.1796e-15    -0.097433
26155        1     879083     895679    122      30  121753      0.84822   -1.2212e-15      0.84822
339451       1     894967     901599     48      15  121173      0.59981   -1.2212e-15      0.59981
84069        1     900872     910988     83      39  121744       1.3145   -1.1102e-15       1.3145
84808        1     910079     918473     58      19  128262      0.47828   -1.1657e-15      0.47828
57801        1     933842     937608     29      12  130979     -0.45906   -1.1657e-15     -0.45906
9636         1     947847     950420     19       8  129338      -3.1742   -1.3323e-15      -3.1742
375790       1     954503     991999    275      46  131206      0.25065   -1.1657e-15      0.25065
401934       1    1006626    1010687     26      14  140073      -1.3038   -1.1102e-15      -1.3038
54991        1    1016698    1052736    220      46  135184     -0.90533   -1.2212e-15     -0.90533
254173       1    1108286    1133815    237      41  139443    0.0069676   -1.1753e-15    0.0069676
8784         1    1138388    1143163     34      14  125088     -0.36073   -1.1657e-15     -0.36073
7293         1    1146206    1150703     24      10  144354       1.5971   -1.1102e-15       1.5971
51150        1    1151788    1168447    156      18  140112       1.5653   -1.1102e-15       1.5653
126792       1    1166629    1170921     25      10  134054     -0.47507   -1.1657e-15     -0.47507
388581       1    1177326    1183102     32      12  132910      0.32727   -1.1657e-15      0.32727
118424       1    1188792    1210234    107      28  138484     -0.78976   -1.2212e-15     -0.78976
6339         1    1214816    1227909    103      37  133192     0.031142   -1.1761e-15     0.031142
116983       1    1227264    1244304    108      33  136265      -1.7458   -1.1102e-15      -1.7458
126789       1    1242962    1247557     23      13  123971      -1.3098   -1.1102e-15      -1.3098
54973        1    1246465    1261067     79      32  127797     -0.35814   -1.1657e-15     -0.35814
80772        1    1259136    1264776     38      15  130269      0.64344   -1.2212e-15      0.64344
83756        1    1265726    1270344     42      25  126939     -0.69866   -1.2212e-15     -0.69866
1855         1    1270158    1285509     97      33  131043     -0.34145   -1.1657e-15     -0.34145
54587        1    1287571    1298183     74      23  135364      0.42372   -1.1657e-15      0.42372
54998        1    1308610    1311818     33      10  146300       0.2039   -1.1657e-15       0.2039
81669        1    1320591    1335718     77      39  127063     -0.35209   -1.1657e-15     -0.35209
55052        1    1336776    1343693     33      15  137950     -0.60975   -1.2212e-15     -0.60975
441869       1    1353300    1357824     32      12  129526      0.52614   -1.2212e-15      0.52614
643965       1    1360508    1363667     30      12  130808      -0.4478   -1.1657e-15      -0.4478
64856        1    1369903    1378762     43      17  134307     -0.51937   -1.2212e-15     -0.51937
219293       1    1377152    1406038    169      46  132605     -0.40245   -1.1657e-15     -0.40245
