# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_VARIABLES = cond_drug (set)
GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     858993     880461    139      37  120786    -0.097433    -0.0017721    -0.095661
26155        1     879083     895679    122      30  121753      0.84822    -0.0017721      0.84999
339451       1     894967     901599     48      15  121173      0.59981    -0.0017721      0.60158
84069        1     900872     910988     83      39  121744       1.3145    -0.0017721       1.3163
84808        1     910079     918473     58      19  128262      0.47828    -0.0017721      0.48005
57801        1     933842     937608     29      12  130979     -0.45906    -0.0017721     -0.45728
9636         1     947847     950420     19       8  129338      -3.1742    -0.0017721      -3.1724
375790       1     954503     991999    275      46  131206      0.25065    -0.0017721      0.25242
401934       1    1006626    1010687     26      14  140073      -1.3038    -0.0017721      -1.3021
54991        1    1016698    1052736    220      46  135184     -0.90533    -0.0017721     -0.90355
254173       1    1108286    1133815    237      41  139443    0.0069676    -0.0017721    0.0087396
8784         1    1138388    1143163     34      14  125088     -0.36073    -0.0017721     -0.35896
7293         1    1146206    1150703     24      10  144354       1.5971    -0.0017721       1.5988
51150        1    1151788    1168447    156      18  140112       1.5653    -0.0017721        1.567
126792       1    1166629    1170921     25      10  134054     -0.47507    -0.0017721      -0.4733
388581       1    1177326    1183102     32      12  132910      0.32727    -0.0017721      0.32904
118424       1    1188792    1210234    107      28  138484     -0.78976    -0.0017721     -0.78799
6339         1    1214816    1227909    103      37  133192     0.031142       0.03258    -0.001438
116983       1    1227264    1244304    108      33  136265      -1.7458    -0.0017721       -1.744
126789       1    1242962    1247557     23      13  123971      -1.3098    -0.0017721       -1.308
54973        1    1246465    1261067     79      32  127797     -0.35814    -0.0017721     -0.35637
80772        1    1259136    1264776     38      15  130269      0.64344    -0.0017721      0.64521
83756        1    1265726    1270344     42      25  126939     -0.69866    -0.0017721     -0.69689
1855         1    1270158    1285509     97      33  131043     -0.34145    -0.0017721     -0.33967
54587        1    1287571    1298183     74      23  135364      0.42372    -0.0017721      0.42549
54998        1    1308610    1311818     33      10  146300       0.2039    -0.0017721      0.20567
81669        1    1320591    1335718     77      39  127063     -0.35209    -0.0017721     -0.35031
55052        1    1336776    1343693     33      15  137950     -0.60975    -0.0017721     -0.60798
441869       1    1353300    1357824     32      12  129526      0.52614    -0.0017721      0.52791
643965       1    1360508    1363667     30      12  130808      -0.4478    -0.0017721     -0.44603
64856        1    1369903    1378762     43      17  134307     -0.51937    -0.0017721     -0.51759
219293       1    1377152    1406038    169      46  132605     -0.40245    -0.0017721     -0.40068
83858        1    1406139    1445352    231      50  131132      0.75204    -0.0017721      0.75382
55210        1    1446523    1470567    169      51  129638     -0.73312    -0.0017721     -0.73135
339453       1    1469658    1476740     32      19  127471      -3.2917    -0.0017721      -3.2899
29101        1    1476553    1511262    175      34  135151      -1.9013    -0.0017721      -1.8996
643988       1    1532888    1536476     11       7  115230       1.1116    -0.0017721       1.1134
142678       1    1549795    1566490     83      28  119405       1.0768    -0.0017721       1.0785
8510         1    1566060    1570530      5       3  120649    -0.010567    -0.0017721   -0.0087954
984          1    1570600    1591473     49      18  116944     -0.42086    -0.0017721     -0.41909
728661       1    1590986    1625243    123      43  124488     -0.16815    -0.0017721     -0.16637
728642       1    1633322    1656999     82      16  133343      -1.2953    -0.0017721      -1.2935
9906         1    1655777    1678438     92      37  129905     -0.95182    -0.0017721     -0.95005
65220        1    1682171    1712508    147      36  137228      0.64005    -0.0017721      0.64183
2782         1    1716225    1823552    399      72  133894     -0.19227    -0.0017721     -0.19049
163688       1    1845266    1849233     21       7  146760      0.41332    -0.0017721       0.4151
339456       1    1848529    1851740     18       7  141322      -0.1063    -0.0017721     -0.10453
85452        1    1852890    1936276    605      64  137109     -0.15207    -0.0017721      -0.1503
2563         1    1949768    1962692     72      26  139946      0.34764       0.03258      0.31506
5590         1    1980909    2117334    900      77  141100      0.18462       0.03258      0.15204
100506504    1    2112750    2116812     18      12  139957       1.6518    -0.0017721       1.6536
199990       1    2115399    2145159    128      48  141250      0.21941    -0.0017721      0.22118
6497         1    2159134    2242152    470     107  144821       2.0338    -0.0017721       2.0356
