# ALPHA = 0.05
# NUMBER_OF_TESTS = 5

# _SET1_  VARIABLE = insulin-secretagogue (set)
# _SET1_  MODEL = 1
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 3.19061e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3766      1  160006757  160041051    138      50  143450      -1.1251      0.61732       0.03258      -1.1577
_SET1_   8647      2  169778836  169888833    620      65  147573      0.27131      0.13367       0.03258      0.23873
_SET1_   5468      3   12328349   12476355    661      81  146248        7.184   4.4627e-16       0.03258       7.1515
_SET1_   1080      7  117119017  117309219    722      72  141823      0.70408     0.062959       0.03258       0.6715
_SET1_   19        9  107542783  107691527    984     154  147899       1.6388    0.0056012       0.03258       1.6062
_SET1_   3767     11   17406295   17411878     37      14  145542       6.8401   3.3694e-14       0.03258       6.8075
_SET1_   6833     11   17413932   17499449    527      64  146045       3.5204   6.5496e-06       0.03258       3.4878
_SET1_   1374     11   68521588   68612878    397      64  141953       2.2307     0.001178       0.03258       2.1981
_SET1_   11309    11   74861032   74917945    283      72  143411     0.079127      0.17826       0.03258     0.046547
_SET1_   3758     11  128707409  128738268    168      47  141319       1.0271     0.034418       0.03258       0.9945
_SET1_   3762     11  128760313  128791560    203      46  149292     -0.52452      0.39015       0.03258      -0.5571
_SET1_   3764     12   21917389   21929436     22      16  144926       2.2253    0.0026172       0.03258       2.1927
_SET1_   10060    12   21949823   22095797    549      73  145873       2.3776   0.00061925       0.03258        2.345

# _SET2_  VARIABLE = nitric-oxide-synthase-inhibitor (set)
# _SET2_  MODEL = 2
# _SET2_  NGENES = 10
# _SET2_  P-VALUE = 0.00013545
_SET2_   GENE   CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   3357     2  231972444  231990926     50      25  143493      0.41907      0.12565       0.03258      0.38649
_SET2_   4543     4  187454309  187477537    137      38  147560     -0.17944      0.27614       0.03258     -0.21202
_SET2_   4835     6    2999067    3020497    209      29  148911       1.8887    0.0044911       0.03258       1.8562
_SET2_   2099     6  152010631  152424909   2295     167  145946       2.4384   0.00037103       0.03258       2.4059
_SET2_   6096     9   77111252   77304034    819      89  145981      -0.8187      0.47931       0.03258     -0.85128
_SET2_   4544    11   92701789   92716448     76      24  142715       6.0358   8.3117e-12       0.03258       6.0032
_SET2_   801     14   90862327   90875119     65      23  150207      -1.4253      0.76319       0.03258      -1.4579
_SET2_   8288    17   56269089   56283035     64      31  140771       1.7207    0.0066391       0.03258       1.6881
_SET2_   4353    17   56346717   56359296     55      35  141763      0.89322     0.049546       0.03258      0.86064
_SET2_   811     19   13048414   13055804     25      16  137460       5.4335   5.5314e-10       0.03258       5.4009

# _SET3_  VARIABLE = PPAR-receptor-agonist (set)
# _SET3_  MODEL = 3
# _SET3_  NGENES = 5
# _SET3_  P-VALUE = 2.3483e-05
_SET3_   GENE    CHR     START      STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   5468      3  12328349  12476355    661      81  146248        7.184   4.4627e-16       0.03258       7.1515
_SET3_   5467      6  35309335  35396468    480      59  145487       1.7632    0.0060982       0.03258       1.7306
_SET3_   4023      8  19795582  19825270    203      45  146564       4.4853   6.4928e-08       0.03258       4.4527
_SET3_   64386    16   3095682   3111227    110      33  142849     -0.81723      0.52198       0.03258     -0.84981
_SET3_   5465     22  46545458  46640153    475      84  141909       1.2014     0.020687       0.03258       1.1688

# _SET4_  VARIABLE = sodium/glucose-cotransporter-inhibitor (set)
# _SET4_  MODEL = 4
# _SET4_  NGENES = 3
# _SET4_  P-VALUE = 7.5911e-07
_SET4_   GENE   CHR     START      STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET4_   2645     7  44183370  44230022    255      59  144385       6.6611   3.5203e-14       0.03258       6.6286
_SET4_   6524    16  31493439  31502591     24      17  129132      0.19599      0.19894       0.03258      0.16341
_SET4_   6523    22  32438019  32509516    344      37  145309       5.1633   2.0434e-09       0.03258       5.1308

# _SET5_  VARIABLE = sulfonylurea (set)
# _SET5_  MODEL = 5
# _SET5_  NGENES = 13
# _SET5_  P-VALUE = 3.1906e-06
_SET5_   GENE    CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET5_   3766      1  160006757  160041051    138      50  143450      -1.1251      0.61732       0.03258      -1.1577
_SET5_   8647      2  169778836  169888833    620      65  147573      0.27131      0.13367       0.03258      0.23873
_SET5_   5468      3   12328349   12476355    661      81  146248        7.184   4.4627e-16       0.03258       7.1515
_SET5_   1080      7  117119017  117309219    722      72  141823      0.70408     0.062959       0.03258       0.6715
_SET5_   19        9  107542783  107691527    984     154  147899       1.6388    0.0056012       0.03258       1.6062
_SET5_   3767     11   17406295   17411878     37      14  145542       6.8401   3.3694e-14       0.03258       6.8075
_SET5_   6833     11   17413932   17499449    527      64  146045       3.5204   6.5496e-06       0.03258       3.4878
_SET5_   1374     11   68521588   68612878    397      64  141953       2.2307     0.001178       0.03258       2.1981
_SET5_   11309    11   74861032   74917945    283      72  143411     0.079127      0.17826       0.03258     0.046547
_SET5_   3758     11  128707409  128738268    168      47  141319       1.0271     0.034418       0.03258       0.9945
_SET5_   3762     11  128760313  128791560    203      46  149292     -0.52452      0.39015       0.03258      -0.5571
_SET5_   3764     12   21917389   21929436     22      16  144926       2.2253    0.0026172       0.03258       2.1927
_SET5_   10060    12   21949823   22095797    549      73  145873       2.3776   0.00061925       0.03258        2.345
