GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     858993     880461    139      37  120786      0.59732      0.27515
26155        1     879083     895679    122      30  121753       1.4963     0.067281
339451       1     894967     901599     48      15  121173        1.138      0.12755
84069        1     900872     910988     83      39  121744       2.0493     0.020217
84808        1     910079     918473     58      19  128262       1.1461      0.12589
57801        1     933842     937608     29      12  130979      0.14017      0.44426
9636         1     947847     950420     19       8  129338      -2.6614      0.99611
375790       1     954503     991999    275      46  131206       1.0092      0.15644
401934       1    1006626    1010687     26      14  140073     -0.65398      0.74344
54991        1    1016698    1052736    220      46  135184     -0.12525      0.54984
254173       1    1108286    1133815    237      41  139443       0.7616      0.22315
8784         1    1138388    1143163     34      14  125088      0.17662       0.4299
7293         1    1146206    1150703     24      10  144354       2.1391     0.016213
51150        1    1151788    1168447    156      18  140112        2.174     0.014851
126792       1    1166629    1170921     25      10  134054    -0.054388      0.52169
388581       1    1177326    1183102     32      12  132910      0.88622      0.18775
118424       1    1188792    1210234    107      28  138484     -0.17402      0.56908
6339         1    1214816    1227909    103      37  133192      0.71464      0.23741
116983       1    1227264    1244304    108      33  136265      -1.0727      0.85829
126789       1    1242962    1247557     23      13  123971     -0.76615      0.77821
54973        1    1246465    1261067     79      32  127797      0.29859      0.38262
80772        1    1259136    1264776     38      15  130269       1.1997      0.11513
83756        1    1265726    1270344     42      25  126939     -0.10443      0.54159
1855         1    1270158    1285509     97      33  131043      0.32015      0.37443
54587        1    1287571    1298183     74      23  135364       1.0564      0.14539
54998        1    1308610    1311818     33      10  146300      0.74186      0.22909
81669        1    1320591    1335718     77      39  127063      0.35906      0.35978
55052        1    1336776    1343693     33      15  137950    -0.013451      0.50537
441869       1    1353300    1357824     32      12  129526       1.0546       0.1458
643965       1    1360508    1363667     30      12  130808      0.11039      0.45605
64856        1    1369903    1378762     43      17  134307      0.11664      0.45357
219293       1    1377152    1406038    169      46  132605      0.33579      0.36851
83858        1    1406139    1445352    231      50  131132         1.41     0.079266
55210        1    1446523    1470567    169      51  129638   -0.0023231      0.50093
339453       1    1469658    1476740     32      19  127471      -2.6324      0.99576
29101        1    1476553    1511262    175      34  135151      -1.1571      0.87639
643988       1    1532888    1536476     11       7  115230       1.5746     0.057672
142678       1    1549795    1566490     83      28  119405       1.7773     0.037761
8510         1    1566060    1570530      5       3  120649      0.32917      0.37102
984          1    1570600    1591473     49      18  116944       0.1976      0.42168
728661       1    1590986    1625243    123      43  124488      0.61823      0.26821
728642       1    1633322    1656999     82      16  133343     -0.69545      0.75661
9906         1    1655777    1678438     92      37  129905     -0.19006      0.57537
65220        1    1682171    1712508    147      36  137228       1.4147     0.078584
2782         1    1716225    1823552    399      72  133894      0.62676      0.26541
163688       1    1845266    1849233     21       7  146760      0.95985      0.16857
339456       1    1848529    1851740     18       7  141322      0.41742      0.33818
85452        1    1852890    1936276    605      64  137109      0.68028      0.24817
2563         1    1949768    1962692     72      26  139946       1.0639       0.1437
5590         1    1980909    2117334    900      77  141100        1.031      0.15127
100506504    1    2112750    2116812     18      12  139957       2.2308     0.012848
199990       1    2115399    2145159    128      48  141250       1.0277      0.15204
6497         1    2159134    2242152    470     107  144821       2.9202    0.0017493
79906        1    2251219    2324190    509      83  147740       1.0566      0.14534
11079        1    2322214    2337383     78      34  144751      0.83908      0.20071
5192         1    2335741    2345010     55      24  149673      0.74554      0.22797
9651         1    2406754    2437464    185      55  144669       1.9942     0.023068
55229        1    2439475    2459061    125      35  146487      0.24423      0.40353
388585       1    2459684    2462684      9       6  146410       1.2449      0.10658
8764         1    2486291    2495768     44      17  145899     -0.12696      0.55052
127281       1    2516899    2523408     43      26  142852    -0.087657      0.53493
79258        1    2521578    2565499    274      29  147882     -0.34116      0.63351
100287898    1    2572307    2707230    186      50  139105     -0.66685      0.74757
140625       1    2937046    2939967     20      11  143041      -1.1762      0.88024
63976        1    2984565    3355685   2762     299  145844       1.9286     0.026887
27237        1    3370147    3398177    189      39  144402     -0.89239      0.81391
1953         1    3404006    3529059    913     132  144752      0.15235      0.43945
127262       1    3540556    3547195     32      12  144621     -0.86693      0.80701
49856        1    3546831    3567671    116      36  136419    -0.087773      0.53497
7161         1    3568129    3653265    535     104  144817   -0.0091349      0.50364
148870       1    3667965    3688709    146      46  143562      0.99075       0.1609
388588       1    3688352    3693046     30      14  149558      0.37173      0.35505
57470        1    3696284    3714068    140      32  147361      0.28955      0.38608
9731         1    3728145    3774797    421      32  147588     0.049951      0.48008
1677         1    3772845    3802493    288      45  145823     -0.22901      0.59057
339448       1    3805197    3817857     94      23  144595      0.73355      0.23161
55966        1    4714105    4844351   1010     117  147129      -1.2089      0.88666
261734       1    5922370    6053618    732      53  146993     -0.10392      0.54138
8514         1    6051358    6161753    614     104  144227      0.34624      0.36458
26038        1    6161347    6241194    504      75  143020     -0.16369      0.56501
6146         1    6244580    6260679     59      17  148030        1.256      0.10455
388591       1    6265189    6281859     82      19  141096      -1.9217      0.97268
23463        1    6280753    6297044     88      26  142218     -0.22698      0.58978
390992       1    6303252    6306138     14       7  148325     -0.68531      0.75343
387509       1    6306906    6322035     77      15  141637     -0.66974      0.74849
11332        1    6323832    6454826    785      55  146435      0.68079        0.248
54626        1    6474792    6485724     48      14  147066      0.47072      0.31892
83715        1    6483836    6521504    189      34  144806       1.9136     0.027836
8718         1    6520287    6528432     51      23  144671       1.0788      0.14034
57449        1    6525652    6581121    320      71  143768      0.21172      0.41616
79707        1    6580907    6615658    208      20  144061      0.45001      0.32635
80835        1    6613987    6640317    152      37  137476      0.22693      0.41024
3104         1    6639051    6649840     39      26  141201     0.099201      0.46049
9903         1    6650284    6663958     75      31  148313       2.4937    0.0063217
148479       1    6672756    6684593     48      19  138521       2.8826     0.001972
90326        1    6683925    6696146     58      17  148520       2.3752    0.0087697
55735        1    6693728    6762966    296      47  145928        2.973    0.0014747
23261        1    6844384    7830266   5024     367  145806       1.7854     0.037101
9341         1    7830329    7841992     58      18  151602      0.63222      0.26362
8863         1    7843413    7905741    332      41  149459      0.19759      0.42168
10911        1    7907172    7914551     43      16  149473      0.30933      0.37853
3604         1    7975431    8004225    114      27  145611       1.0891      0.13806
11315        1    8020714    8045842    135      41  140877       3.3468    0.0004088
54206        1    8071279    8087393     55      20  141628       2.7855    0.0026719
50651        1    8377171    8404727    151      37  141566      0.28716      0.38699
473          1    8411964    8878699   1492      71  142431      0.20225      0.41986
2023         1    8920559    8940151     72      27  141462     -0.94747       0.8283
765          1    9004893    9035651    212      55  146024      0.14617      0.44189
155184       1    9062859    9087404    158      63  146626      0.31078      0.37798
6518         1    9096505    9132763    186      40  147675     -0.15757       0.5626
80045        1    9162972    9190229    124      32  144594     -0.28373      0.61169
9563         1    9293822    9331896    219      58  144271       2.6399    0.0041462
80176        1    9334202    9430091    706     123  148732      0.97971      0.16361
84275        1    9598528    9643331    189      46  137166     -0.10595      0.54219
199953       1    9647932    9675435    134      42  139283     -0.08331       0.5332
5293         1    9710789    9789672    412      86  140800    -0.067116      0.52676
22883        1    9788579    9885550    518      31  138534      0.54798      0.29185
56998        1    9907834    9971316    302      55  139255     -0.78053      0.78246
84328        1    9981668   10004460     95      31  146235       1.9237     0.027198
64802        1   10002486   10046056    165      42  147378       2.7142    0.0033215
116362       1   10056255   10076578     72      16  149661       2.7309    0.0031584
10277        1   10092041   10241797    646      55  144888       2.7446    0.0030293
23095        1   10269606   10442164    856      37  147578       2.0476     0.020299
5226         1   10457884   10481065    109      27  142566      0.98135      0.16321
378708       1   10488944   10510739     96      23  148669     -0.42572      0.66484
100526739    1   10489159   10512560    102      23  148618     -0.39045       0.6519
1325         1   10508776   10512560     18       7  143245      0.23479      0.40718
1676         1   10520088   10533613     59      27  140714      -1.0155      0.84508
5195         1   10534003   10691315    668      80  146817     -0.70121      0.75841
54897        1   10696161   10857733    868     167  144325       1.2262      0.11006
148345       1   11006030   11043094    237      50  143969      0.84395      0.19935
23435        1   11071462   11086049     59      20  141923       1.9143     0.027793
10747        1   11086080   11108296    119      27  143960       1.5868     0.056278
6723         1   11114149   11121091     22      10  134142       2.5289    0.0057205
5394         1   11126175   11160961    169      20  145634       3.0028    0.0013374
2475         1   11166088   11323614    616      37  143067       4.1725   1.5065e-05
10218        1   11248346   11256538     32      11  144374         2.58    0.0049402
29914        1   11332255   11348991     48      14  137470       3.1673   0.00076933
57540        1   11538295   11598140    272      36  146431         1.08      0.14008
26232        1   11707424   11715888     45      29  145469      0.99395      0.16012
93611        1   11713432   11723884     46      19  146241      -1.6187      0.94724
26270        1   11723150   11734911     71      28  137555      -1.6643      0.95198
10459        1   11734037   11752678    119      33  141142       -0.263      0.60373
374946       1   11750781   11780836    155      45  145551     0.046305      0.48153
57085        1   11795142   11811328     76      22  149011       1.1456      0.12597
284498       1   11822827   11850142    220      25  147545       1.2501      0.10563
4524         1   11845287   11867160    134      27  146968        1.715     0.043172
1185         1   11865153   11903701    306      27  146796       1.9791     0.023903
4878         1   11905266   11908840     21       9  153265       1.4762     0.069946
4879         1   11917021   11919992     10       6  144263      0.42434      0.33566
90231        1   11979145   11987485     55      23  146362       1.6909     0.045425
5351         1   11993724   12036099    225      40  147500        1.907     0.028258
9927         1   12039238   12074072    173      36  139043       1.1395      0.12724
60672        1   12078299   12092606     55      22  141588       1.4699     0.070801
943          1   12122434   12204764    452      92  141234     0.087602       0.4651
7133         1   12226044   12269779    234      50  145754     -0.55185      0.70948
55187        1   12289101   12572599   1083      68  143665       0.9023      0.18345
9249         1   12627439   12678820    302      70  144407      0.37099      0.35532
343066       1   12703566   12727597    136      30  142478      0.21253      0.41585
126767       1   12775118   12789226     94      23  141095      0.57679      0.28204
93190        1   12805163   12821602     93      19  137885     0.054397      0.47831
390999       1   12833984   12838549     26      12  139761     -0.76353      0.77742
65121        1   12850546   12857277     30      12  125135      0.24121       0.4047
440560       1   12883968   12892264     30      11  125937      -1.2562      0.89548
343069       1   12906761   12909578     17       8  141465    -0.028169      0.51124
65122        1   12915941   12922264     40      10  135758     0.073497      0.47071
400735       1   12938533   12947025     14      10  124808     -0.33549      0.63137
343071       1   12952227   12959094      3       2  100264      -2.1772      0.98527
440561       1   12997802   13008406      1       1  105810       1.5893        0.056
440563       1   13182460   13185326     17       8  131069      0.18725      0.42573
391003       1   13473553   13478569      1       1  157384      0.61281         0.27
391004       1   13715088   13719564      1       1  125086       0.7063         0.24
126755       1   13800945   13841242    296      68  144694       1.5109     0.065403
10630        1   13909252   13944952    223      66  148051      0.41915      0.33755
7799         1   14025714   14152074    668      78  147279     -0.86794      0.80729
23254        1   14218646   15445044   7889     504  146151      0.58871      0.27803
55092        1   15478028   15547474    522      48  149654     -0.92297      0.82199
727684       1   15490192   15499120     55      16  149051     -0.52096       0.6988
114827       1   15572730   15725267    872     123  147538       1.0304       0.1514
79180        1   15735391   15757339    147      47  138680       1.2512      0.10543
11330        1   15763938   15773653     46      19  146113       1.2927     0.098063
63036        1   15782223   15799086    108      27  149005      0.18221      0.42771
51032        1   15801596   15818395     88      26  146745       2.0367     0.020839
842          1   15817396   15852407    202      26  148743       1.2221      0.11083
23341        1   15852343   15898728    189      30  148366       1.4491     0.073658
79814        1   15897694   15912605     85      18  148072      0.94069      0.17343
84301        1   15942953   15996039    206      26  147038      0.58234      0.28017
6248         1   15985364   15988717     13       6  142778      -1.4143      0.92137
23207        1   16009632   16061764    267      30  147798       1.3629     0.086458
284723       1   16061721   16068384     24      11  143597      -0.5151      0.69676
388595       1   16067987   16074792     45      19  143345       2.2644     0.011775
54751        1   16082107   16113589    166      39  143337       1.6105     0.053648
440567       1   16133157   16135194     17       5  148320       1.6679     0.047664
23013        1   16173359   16267451    375      53  143095       1.9505      0.02556
7709         1   16267864   16303627    133      50  142925       2.7943    0.0026006
101928566    1   16301626   16324201    157      38  145890       2.3984    0.0082334
149563       1   16329731   16333684     33      13  145681      0.53986      0.29465
27129        1   16340023   16347084     73      12  150813       2.9918    0.0013867
1187         1   16347486   16361048    119      30  146317       3.3652   0.00038251
1188         1   16369231   16384321    160      27  148926       1.5937     0.055506
348487       1   16383764   16401127     93      19  148207       1.8666     0.030982
1969         1   16450332   16483582    145      53  143790       1.2892     0.098666
128272       1   16524099   16540104     90      19  149202      0.42298      0.33616
101927546    1   16550843   16554528     15       4  146793      0.57722       0.2819
79363        1   16557682   16564659     28      13  149580       1.3411     0.089942
54455        1   16572839   16679965    413      43  146251      0.14767       0.4413
26099        1   16692525   16725143    118      30  143964       0.9159      0.17986
374955       1   16721601   16764919    228      60  145790      0.37803       0.3527
55707        1   16766167   16787085     93      32  146300     0.051015      0.47966
100133301    1   16864561   16866698      7       5  127179     -0.36056      0.64079
55672        1   16888422   16941100     11       7  122852      -1.4673      0.92885
11223        1   17080629   17091975      2       1  132841       0.8841      0.18832
9696         1   17247445   17299974    259      65  139169      -1.3324      0.90864
4237         1   17300497   17309081     32      13  145556      0.10027      0.46006
23400        1   17311953   17339467    116      40  139662     -0.93109       0.8241
6390         1   17344717   17381665    197      31  146352      0.70021       0.2419
11240        1   17392756   17446948    383      38  150504     -0.82897      0.79644
29943        1   17530621   17573001    299      88  148732      -1.2499      0.89432
51702        1   17574593   17611228    270      45  150141      0.64783      0.25855
23569        1   17633690   17690995    417      46  147223     -0.49776      0.69067
353238       1   17697741   17728695    264      34  146154       2.3116       0.0104
55920        1   17732751   17767250    186      53  143375       1.0616      0.14422
55160        1   17845693   18024870   1035     124  140876      -0.2696      0.60627
81569        1   18080808   18154058    359      58  148477      0.38629      0.34964
84966        1   18433240   18705477   1740     226  145923    -0.073212      0.52918
127707       1   18806424   18813040     52      13  143229      -1.0329      0.84917
5081         1   18956500   19075860    697     145  144974      0.18295      0.42742
80834        1   19165593   19187155    172      39  150886       1.8412     0.032799
8659         1   19197424   19230293    266      41  147972     0.088122      0.46489
126917       1   19230274   19283826    325      63  149164    -0.079589      0.53172
23352        1   19400500   19537812    532      47  145096       1.2656      0.10284
23065        1   19541658   19579053    179      33  149110       1.7701     0.038352
51154        1   19577075   19587122     74      14  150342       1.4433      0.07447
22977        1   19608557   19616280     51      12  143683       1.5392     0.061883
8574         1   19628702   19639640     57      26  147541     -0.24021      0.59492
54896        1   19637740   19659425    154      30  150805   -0.0015501      0.50062
832          1   19664767   19813066    935      54  147636       1.9581     0.025109
440574       1   19922471   19956815    185      26  144032      0.97772      0.16411
100532736    1   19922471   19985449    359      52  145897      0.39564      0.34619
4681         1   19968723   19985449     96      37  148252      0.25556      0.39914
3362         1   19990780   20006555     87      28  143041      0.88488      0.18811
255104       1   20008206   20127424    725     108  144987        2.877    0.0020075
54546        1   20140022   20142771     29      13  153105      0.17917       0.4289
23252        1   20207356   20239938    136      37  148136     -0.50891      0.69459
30814        1   20246300   20251110     35      14  147971     -0.48576      0.68643
5320         1   20301424   20307932     35      20  146849     -0.45315      0.67478
5322         1   20385157   20418894    203      45  144857      0.60468       0.2727
26279        1   20438643   20447059     43      20  148344       1.3219     0.093095
64600        1   20464823   20477379     63      38  144841     -0.19629      0.57781
