# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = diabetes-mellitus (set)
# _SET1_  MODEL = 1
# _SET1_  NGENES = 31
# _SET1_  P-VALUE = 6.08174e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   279       1  104158999  104168900     10       6  128229       1.0517       0.1251       0.03258       1.0192
_SET1_   3766      1  160006757  160041051    138      50  143450      -1.1251      0.61732       0.03258      -1.1577
_SET1_   1803      2  162848251  162932052    338      45  149483       1.3157     0.018025       0.03258       1.2831
_SET1_   8647      2  169778836  169888833    620      65  147573      0.27131      0.13367       0.03258      0.23873
_SET1_   5468      3   12328349   12476355    661      81  146248        7.184   4.4627e-16       0.03258       7.1515
_SET1_   8856      3  119498331  119552795    259      55  148015    -0.031503      0.21623       0.03258    -0.064083
_SET1_   2908      5  142656996  143114322   2148     182  144249     -0.57544      0.35901       0.03258     -0.60802
_SET1_   2645      7   44183370   44230022    255      59  144385       6.6611   3.5203e-14       0.03258       6.6286
_SET1_   1080      7  117119017  117309219    722      72  141823      0.70408     0.062959       0.03258       0.6715
_SET1_   8972      7  141694676  141807047    654     101  143041     -0.43603      0.33181       0.03258     -0.46861
_SET1_   19        9  107542783  107691527    984     154  147899       1.6388    0.0056012       0.03258       1.6062
_SET1_   3767     11   17406295   17411878     37      14  145542       6.8401   3.3694e-14       0.03258       6.8075
_SET1_   6833     11   17413932   17499449    527      64  146045       3.5204   6.5496e-06       0.03258       3.4878
_SET1_   23193    11   62391798   62415198     82      40  139442     -0.22431      0.28978       0.03258     -0.25689
_SET1_   1374     11   68521588   68612878    397      64  141953       2.2307     0.001178       0.03258       2.1981
_SET1_   11309    11   74861032   74917945    283      72  143411     0.079127      0.17826       0.03258     0.046547
_SET1_   5241     11  100899855  101001544    569      49  145176     -0.38396      0.34134       0.03258     -0.41654
_SET1_   3758     11  128707409  128738268    168      47  141319       1.0271     0.034418       0.03258       0.9945
_SET1_   3762     11  128760313  128791560    203      46  149292     -0.52452      0.39015       0.03258      -0.5571
_SET1_   3764     12   21917389   21929436     22      16  144926       2.2253    0.0026172       0.03258       2.1927
_SET1_   10060    12   21949823   22095797    549      73  145873       2.3776   0.00061925       0.03258        2.345
_SET1_   4048     12   96394031   96438298    249      46  146108       2.0677     0.002093       0.03258       2.0351
_SET1_   32       12  109553222  109706531    793      84  145094     -0.51926      0.36735       0.03258     -0.55184
_SET1_   5564     12  120104669  120119929     50      19  139936      -2.0016      0.90613       0.03258      -2.0341
_SET1_   2595     15   42565366   42647099    570      33  141272      0.70534     0.085242       0.03258      0.67276
_SET1_   6524     16   31493439   31502591     24      17  129132      0.19599      0.19894       0.03258      0.16341
_SET1_   4313     16   55512081   55541086    183      37  148814     -0.06151      0.23573       0.03258     -0.09409
_SET1_   1636     17   61553422   61576241    125      31  137800       3.1074   5.7405e-05       0.03258       3.0748
_SET1_   2548     17   78074339   78094180    184      32  149058       -2.061      0.90555       0.03258      -2.0935
_SET1_   4318     20   44636547   44645700     57      21  146847      -0.6375      0.47441       0.03258     -0.67008
_SET1_   6523     22   32438019   32509516    344      37  145309       5.1633   2.0434e-09       0.03258       5.1308

# _SET2_  VARIABLE = hyperglycemia (set)
# _SET2_  MODEL = 2
# _SET2_  NGENES = 16
# _SET2_  P-VALUE = 0.00012348
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   3766      1  160006757  160041051    138      50  143450      -1.1251      0.61732       0.03258      -1.1577
_SET2_   8647      2  169778836  169888833    620      65  147573      0.27131      0.13367       0.03258      0.23873
_SET2_   5468      3   12328349   12476355    661      81  146248        7.184   4.4627e-16       0.03258       7.1515
_SET2_   8856      3  119498331  119552795    259      55  148015    -0.031503      0.21623       0.03258    -0.064083
_SET2_   2908      5  142656996  143114322   2148     182  144249     -0.57544      0.35901       0.03258     -0.60802
_SET2_   1080      7  117119017  117309219    722      72  141823      0.70408     0.062959       0.03258       0.6715
_SET2_   19        9  107542783  107691527    984     154  147899       1.6388    0.0056012       0.03258       1.6062
_SET2_   3767     11   17406295   17411878     37      14  145542       6.8401   3.3694e-14       0.03258       6.8075
_SET2_   6833     11   17413932   17499449    527      64  146045       3.5204   6.5496e-06       0.03258       3.4878
_SET2_   1374     11   68521588   68612878    397      64  141953       2.2307     0.001178       0.03258       2.1981
_SET2_   11309    11   74861032   74917945    283      72  143411     0.079127      0.17826       0.03258     0.046547
_SET2_   5241     11  100899855  101001544    569      49  145176     -0.38396      0.34134       0.03258     -0.41654
_SET2_   3758     11  128707409  128738268    168      47  141319       1.0271     0.034418       0.03258       0.9945
_SET2_   3762     11  128760313  128791560    203      46  149292     -0.52452      0.39015       0.03258      -0.5571
_SET2_   3764     12   21917389   21929436     22      16  144926       2.2253    0.0026172       0.03258       2.1927
_SET2_   10060    12   21949823   22095797    549      73  145873       2.3776   0.00061925       0.03258        2.345

# _SET3_  VARIABLE = sleep-cycle-support (set)
# _SET3_  MODEL = 3
# _SET3_  NGENES = 10
# _SET3_  P-VALUE = 0.00013545
_SET3_   GENE   CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   3357     2  231972444  231990926     50      25  143493      0.41907      0.12565       0.03258      0.38649
_SET3_   4543     4  187454309  187477537    137      38  147560     -0.17944      0.27614       0.03258     -0.21202
_SET3_   4835     6    2999067    3020497    209      29  148911       1.8887    0.0044911       0.03258       1.8562
_SET3_   2099     6  152010631  152424909   2295     167  145946       2.4384   0.00037103       0.03258       2.4059
_SET3_   6096     9   77111252   77304034    819      89  145981      -0.8187      0.47931       0.03258     -0.85128
_SET3_   4544    11   92701789   92716448     76      24  142715       6.0358   8.3117e-12       0.03258       6.0032
_SET3_   801     14   90862327   90875119     65      23  150207      -1.4253      0.76319       0.03258      -1.4579
_SET3_   8288    17   56269089   56283035     64      31  140771       1.7207    0.0066391       0.03258       1.6881
_SET3_   4353    17   56346717   56359296     55      35  141763      0.89322     0.049546       0.03258      0.86064
_SET3_   811     19   13048414   13055804     25      16  137460       5.4335   5.5314e-10       0.03258       5.4009
