# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     858993     880461    140      38  160901     0.086024    5.2486e-14     0.086024
26155        1     879083     895679    118      28  196082     -0.58652    5.2514e-14     -0.58652
339451       1     894967     901599     42      12  211239    -0.044948    5.2479e-14    -0.044948
84069        1     900872     910988     77      36  180779      0.63648    5.2514e-14      0.63648
84808        1     910079     918473     55      17  257976      0.42527    5.2458e-14      0.42527
57801        1     933842     937608     28      12  230573      0.25127    5.2458e-14      0.25127
9636         1     947847     950420     19       8  205042       1.3399    5.2403e-14       1.3399
375790       1     954503     991999    258      39  171102      0.36513    5.2458e-14      0.36513
401934       1    1006626    1010687     24      12  226481     -0.36762    5.2458e-14     -0.36762
54991        1    1016698    1052736    205      41  239148       0.8604    5.2514e-14       0.8604
254173       1    1108286    1133815    227      38  286685     -0.99988    5.2514e-14     -0.99988
8784         1    1138388    1143163     30      11  180494      0.57009    5.2514e-14      0.57009
7293         1    1146206    1150703     23      10  277402        0.756    5.2514e-14        0.756
51150        1    1151788    1168447    145      16  289353     0.035697    5.2479e-14     0.035697
126792       1    1166629    1170921     23       9  214651       0.5955    5.2514e-14       0.5955
388581       1    1177326    1183102     26       8  280742     0.073426    5.2486e-14     0.073426
118424       1    1188792    1210234     99      24  271972     -0.13853    5.2486e-14     -0.13853
6339         1    1214816    1227909     90      32  230745     -0.75841    5.2514e-14     -0.75841
116983       1    1227264    1244304    100      30  172619      -1.1351    5.2403e-14      -1.1351
126789       1    1242962    1247557     20      10  128927       1.2797    5.2403e-14       1.2797
54973        1    1246465    1261067     72      29  121336       0.8306    5.2514e-14       0.8306
80772        1    1259136    1264776     31      11  224745      0.98801    5.2514e-14      0.98801
83756        1    1265726    1270344     35      19  172780       1.3077    5.2403e-14       1.3077
1855         1    1270158    1285509     91      30  199941      0.77396    5.2514e-14      0.77396
54587        1    1287571    1298183     67      19  207305      0.43964    5.2458e-14      0.43964
54998        1    1308610    1311818     33      10  297583      0.23267    5.2486e-14      0.23267
81669        1    1320591    1335718     68      32  140950      0.83082    5.2514e-14      0.83082
55052        1    1336776    1343693     30      13  245660      -0.2124    5.2486e-14      -0.2124
