# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_VARIABLES = cond_drug (set)
GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     858993     880461    139      37  120786    -0.097433    9.3723e-05    -0.097527
26155        1     879083     895679    122      30  121753      0.84822    9.3723e-05      0.84813
339451       1     894967     901599     48      15  121173      0.59981    9.3723e-05      0.59972
84069        1     900872     910988     83      39  121744       1.3145    9.3723e-05       1.3144
84808        1     910079     918473     58      19  128262      0.47828    9.3723e-05      0.47818
57801        1     933842     937608     29      12  130979     -0.45906    9.3723e-05     -0.45915
9636         1     947847     950420     19       8  129338      -3.1742    9.3723e-05      -3.1743
375790       1     954503     991999    275      46  131206      0.25065    9.3723e-05      0.25056
401934       1    1006626    1010687     26      14  140073      -1.3038    9.3723e-05      -1.3039
54991        1    1016698    1052736    220      46  135184     -0.90533    9.3723e-05     -0.90542
254173       1    1108286    1133815    237      41  139443    0.0069676    9.3723e-05    0.0068739
8784         1    1138388    1143163     34      14  125088     -0.36073    9.3723e-05     -0.36082
7293         1    1146206    1150703     24      10  144354       1.5971    9.3723e-05        1.597
51150        1    1151788    1168447    156      18  140112       1.5653    9.3723e-05       1.5652
126792       1    1166629    1170921     25      10  134054     -0.47507    9.3723e-05     -0.47516
388581       1    1177326    1183102     32      12  132910      0.32727    9.3723e-05      0.32717
118424       1    1188792    1210234    107      28  138484     -0.78976    9.3723e-05     -0.78985
6339         1    1214816    1227909    103      37  133192     0.031142    9.3723e-05     0.031048
116983       1    1227264    1244304    108      33  136265      -1.7458    9.3723e-05      -1.7459
126789       1    1242962    1247557     23      13  123971      -1.3098    9.3723e-05      -1.3099
54973        1    1246465    1261067     79      32  127797     -0.35814    9.3723e-05     -0.35823
80772        1    1259136    1264776     38      15  130269      0.64344    9.3723e-05      0.64334
83756        1    1265726    1270344     42      25  126939     -0.69866    9.3723e-05     -0.69875
1855         1    1270158    1285509     97      33  131043     -0.34145    9.3723e-05     -0.34154
54587        1    1287571    1298183     74      23  135364      0.42372    9.3723e-05      0.42363
54998        1    1308610    1311818     33      10  146300       0.2039    9.3723e-05       0.2038
81669        1    1320591    1335718     77      39  127063     -0.35209    9.3723e-05     -0.35218
55052        1    1336776    1343693     33      15  137950     -0.60975    9.3723e-05     -0.60984
441869       1    1353300    1357824     32      12  129526      0.52614    9.3723e-05      0.52604
643965       1    1360508    1363667     30      12  130808      -0.4478    9.3723e-05     -0.44789
64856        1    1369903    1378762     43      17  134307     -0.51937    9.3723e-05     -0.51946
219293       1    1377152    1406038    169      46  132605     -0.40245    9.3723e-05     -0.40254
83858        1    1406139    1445352    231      50  131132      0.75204    9.3723e-05      0.75195
55210        1    1446523    1470567    169      51  129638     -0.73312    9.3723e-05     -0.73321
339453       1    1469658    1476740     32      19  127471      -3.2917    9.3723e-05      -3.2918
29101        1    1476553    1511262    175      34  135151      -1.9013    9.3723e-05      -1.9014
643988       1    1532888    1536476     11       7  115230       1.1116    9.3723e-05       1.1115
142678       1    1549795    1566490     83      28  119405       1.0768    9.3723e-05       1.0767
8510         1    1566060    1570530      5       3  120649    -0.010567    9.3723e-05    -0.010661
984          1    1570600    1591473     49      18  116944     -0.42086    9.3723e-05     -0.42096
728661       1    1590986    1625243    123      43  124488     -0.16815    9.3723e-05     -0.16824
728642       1    1633322    1656999     82      16  133343      -1.2953    9.3723e-05      -1.2954
9906         1    1655777    1678438     92      37  129905     -0.95182    9.3723e-05     -0.95191
65220        1    1682171    1712508    147      36  137228      0.64005    9.3723e-05      0.63996
2782         1    1716225    1823552    399      72  133894     -0.19227    9.3723e-05     -0.19236
163688       1    1845266    1849233     21       7  146760      0.41332    9.3723e-05      0.41323
339456       1    1848529    1851740     18       7  141322      -0.1063    9.3723e-05     -0.10639
85452        1    1852890    1936276    605      64  137109     -0.15207    9.3723e-05     -0.15216
2563         1    1949768    1962692     72      26  139946      0.34764    9.3723e-05      0.34755
5590         1    1980909    2117334    900      77  141100      0.18462    9.3723e-05      0.18453
100506504    1    2112750    2116812     18      12  139957       1.6518    9.3723e-05       1.6517
199990       1    2115399    2145159    128      48  141250      0.21941    9.3723e-05      0.21932
6497         1    2159134    2242152    470     107  144821       2.0338    9.3723e-05       2.0337
79906        1    2251219    2324190    509      83  147740      0.18755    9.3723e-05      0.18746
11079        1    2322214    2337383     78      34  144751     0.060416    9.3723e-05     0.060322
5192         1    2335741    2345010     55      24  149673     0.019817    9.3723e-05     0.019724
9651         1    2406754    2437464    185      55  144669       1.1733    9.3723e-05       1.1732
55229        1    2439475    2459061    125      35  146487     -0.50676    9.3723e-05     -0.50686
388585       1    2459684    2462684      9       6  146410      0.82852    9.3723e-05      0.82843
8764         1    2486291    2495768     44      17  145899     -0.80793    9.3723e-05     -0.80803
127281       1    2516899    2523408     43      26  142852     -0.81466    9.3723e-05     -0.81475
79258        1    2521578    2565499    274      29  147882      -1.0604    9.3723e-05      -1.0605
100287898    1    2572307    2707230    186      50  139105      -1.4482    9.3723e-05      -1.4482
140625       1    2937046    2939967     20      11  143041      -1.7529    9.3723e-05       -1.753
63976        1    2984565    3355685   2762     299  145844       0.9654    9.3723e-05      0.96531
27237        1    3370147    3398177    189      39  144402      -1.6249    9.3723e-05       -1.625
